Spawn Point,PlayerLocator
Checkpoint,RetryPoint
Goal Pole,ObjectGoalPole
Goal Pole (Dead By Body Attack),ObjectGoalPoleDeadByBodyAttack
Goal Pole Poplin House,ObjectGoalPoleFort
Goomba,EnemyKuribo
? Block,BlockHatena
? Block Wide,BlockHatenaLong
Hidden Block,BlockClarity
Hidden Character Block,ObjectBlockClarityCharacter
! Block,ObjectBlockSurpriseYellow
Breakable Block,ObjectBlockHardBreakable
Race Block,ObjectBlockRaceStart
Brick Block Item,BlockRengaItem,ItemQuestion
Light Brick Block,BlockRengaLight
Talking Flower,ObjectTalkingFlower
Talking Flower (Sky),ObjectTalkingFlowerS
Opening Poplin,CourseNpcOpeningButler
Coin,ObjectCoinYellow
10 Coin,ObjectBigTenLuckyCoin
Purple Coin,ObjectCoinRandom
Mini Purple Coin,ObjectMiniLuckyCoin
Mini Flower (Air),ObjectMiniFlowerInAir
Mini Flower (Block),ObjectMiniFlowerInBlock
Mini Flower (Water),ObjectMiniFlowerWater
Propeller Flower,ObjectPropellerFlowerForCourse
Pipe,ObjectDokan
Running Pirahna Plant,EnemyRunRunPackun
Bulrush,EnemyTossin
Avacado Block 2x2,ObjectAvocadoBlock2x2
Avacado Block 4x4,ObjectAvocadoBlock4x4
Dash Floor,ObjectDashFloor
Timer Switch Block,ObjectTimerSwitchBlockSync
Treasure Chest,ObjectTreasureChest
Wonder Token,ObjectWonderChip
Xylophone Bridge,ObjectXylophoneBridge
